,iLTs,miLT,ACR,net_delay,no_click,TCiL,subject,error
0,"[378,8829,11967,28827]",12501,4,387ms,5,4,13,false
1,"[18568,5435,274,6335,9123,4213]",7325,4,130ms,7,6,13,false
2,"[4083,1380,123,420,2935,1650,657,796,1652,895,1152,1201,629,1751,5822,656,7509,5154,141,1299,7540,2792,741,2051,10284,8237,4000]",2799,3,166ms,28,27,13,true
3,"[12378,1626,4694,12704,677,4150]",6039,3,260ms,7,6,13,true
4,"[6026,2218,9538,2291]",5019,4,187ms,5,4,13,false
5,"[26960,11491,14835,10202]",15872,4,382ms,5,4,15,false
6,"[3825,32857,5155]",13946,4,586ms,4,3,15,false
7,"[15019,3459,9431,1134,2221]",6253,4,448ms,6,5,15,false
8,[5349],5349,4,311ms,2,1,15,false
9,"[7009,3768]",5389,4,446ms,3,2,15,false
10,"[10071,14112,16906,5993,3022]",10021,4,296ms,6,5,15,true
11,[3424],3424,4,291ms,2,1,15,false
12,[],,5,,0,0,16,false
13,"[789,185,237,170,189,177,189,183,203,223,210,207,189,181,175,189,183,190,185,162,11859,149,147,209,162,198,15329,40730,3834,28813,3756,25052,20495,4182,169,157,163,160,167,899,169,178,176,164,162,1311,10280,255,9146,1193,10614,1856,9629,11775,3056,161,168,176,162,169,189,8921,162,158,155,146,158,166,170,183,162,173,1290,2129,1872,2920,3991]",3180,2,263ms,78,77,16,true
14,"[914,22663,17884,9674,9537,9359]",11672,4,293ms,7,6,17,false
15,"[30025,2557,16465,4041]",13272,3,504ms,5,4,17,false
16,"[6800,13631,874,10359,6506,9657,7451,8334]",7952,2,220ms,9,8,17,true
17,"[10074,4087,10184,5647,10502,5387]",7647,3,296ms,7,6,17,false
18,"[10212,8911,21324,4925]",11343,3,365ms,5,4,17,true
19,"[1782,5742,40379,3168,12259,3595]",11155,4,286ms,7,6,17,false
20,"[14313,18049,19567,16711]",24660,5,301ms,5,4,18,false
21,"[22325,20638,10244,13296]",16626,5,354ms,5,4,19,false
22,"[7763,14120,1412,2022,18006,256,8196,22280,12212,412,9986,19557,5470,8609,6475]",9119,5,199ms,16,15,19,false
23,"[946,8927,9062,7960,1030,3572,7599,830,1198,10069,1934,14821,1133,8577,4185]",5457,4,339ms,16,15,19,true
24,"[3142,1376,18610,4361,16944,13182,6591,11230,13122,3456]",9202,4,289ms,11,10,19,true
25,"[9682,2091,6764,5869]",6102,4,220ms,5,4,19,false
26,"[15414,15913]",15664,4,308ms,3,2,20,false
27,"[9383,23651,1670,776,25008,5558,9532,5760,3813,4411,8057,7277]",8742,3,392ms,13,12,20,true

